Symbol,Date,Close
UNL,8/17/2023,36000
UNL,8/16/2023,36949
UNL,8/15/2023,37200
UNL,8/14/2023,38014.2
UNL,8/13/2023,37300
UNL,8/10/2023,37090
UNL,8/9/2023,36501
UNL,8/8/2023,36250
UNL,8/7/2023,36050
UNL,8/6/2023,35999
UNL,8/3/2023,36142.4
UNL,8/2/2023,36221
UNL,8/1/2023,36029
UNL,7/31/2023,37100
UNL,7/30/2023,36650
UNL,7/27/2023,36101
UNL,7/26/2023,37000
UNL,7/25/2023,39500
UNL,7/24/2023,37300
UNL,7/23/2023,37995
UNL,7/20/2023,38453.3
UNL,7/19/2023,37230
UNL,7/18/2023,36300
UNL,7/17/2023,33489
UNL,7/16/2023,32998
UNL,7/13/2023,32500
UNL,7/12/2023,32536
UNL,7/11/2023,32574.9
UNL,7/10/2023,32595
UNL,7/9/2023,31910
UNL,7/6/2023,31900
UNL,7/5/2023,31701
UNL,7/4/2023,32130
UNL,7/3/2023,32046
UNL,7/2/2023,32585
UNL,6/28/2023,33330
UNL,6/27/2023,32705
UNL,6/26/2023,32777.7
UNL,6/25/2023,32790
UNL,6/22/2023,31505
UNL,6/21/2023,32642
UNL,6/20/2023,31899
UNL,6/19/2023,31301
UNL,6/18/2023,32500
UNL,6/15/2023,32000
UNL,6/14/2023,31948
UNL,6/13/2023,33320
UNL,6/12/2023,34399
UNL,6/11/2023,32634
UNL,6/8/2023,30674
UNL,6/7/2023,31300
UNL,6/6/2023,31200
UNL,6/5/2023,31000
UNL,6/4/2023,31925
UNL,6/1/2023,30700
UNL,5/31/2023,30084.3
UNL,5/30/2023,33427
UNL,5/28/2023,33000
UNL,5/24/2023,30790
UNL,5/23/2023,28000
UNL,5/22/2023,26700
UNL,5/21/2023,24950
UNL,5/18/2023,25205
UNL,5/17/2023,25300
UNL,5/16/2023,25350
UNL,5/15/2023,24990
UNL,5/14/2023,25000
UNL,5/11/2023,24895
UNL,5/10/2023,24480
UNL,5/9/2023,24241
UNL,5/8/2023,23300
UNL,5/7/2023,23400
UNL,5/4/2023,23401
UNL,5/3/2023,23200
UNL,5/2/2023,22542
UNL,4/30/2023,22100
UNL,4/27/2023,22200
UNL,4/26/2023,23560
UNL,4/25/2023,23750
UNL,4/24/2023,23100
UNL,4/23/2023,23127
UNL,4/20/2023,22674
UNL,4/19/2023,22410
UNL,4/18/2023,22800
UNL,4/17/2023,23000
UNL,4/16/2023,23059.3
UNL,4/13/2023,24010
UNL,4/12/2023,25000
UNL,4/11/2023,23800
UNL,4/10/2023,22310
UNL,4/9/2023,22000
UNL,4/6/2023,21650
UNL,4/5/2023,21503
UNL,4/4/2023,21500
UNL,4/3/2023,21500
UNL,4/2/2023,21600
UNL,3/30/2023,21600
UNL,3/29/2023,21550
UNL,3/28/2023,21500
UNL,3/27/2023,21400
UNL,3/26/2023,21300
UNL,3/23/2023,21000
UNL,3/22/2023,20910
UNL,3/20/2023,20500
UNL,3/19/2023,20210
UNL,3/16/2023,20145
UNL,3/15/2023,20145
UNL,3/14/2023,19750
UNL,3/13/2023,19900
UNL,3/12/2023,19900
UNL,3/9/2023,19900
UNL,3/5/2023,19900
UNL,3/2/2023,19840
UNL,3/1/2023,20240
UNL,2/28/2023,20000
UNL,2/27/2023,20000
UNL,2/26/2023,19950
UNL,2/23/2023,19800
UNL,2/22/2023,20340
UNL,2/20/2023,20000
UNL,2/16/2023,20700
UNL,2/15/2023,22000
UNL,2/14/2023,20269
UNL,2/12/2023,19100
UNL,2/9/2023,19000
UNL,2/8/2023,18750
UNL,2/7/2023,18500
UNL,2/6/2023,18450
UNL,2/5/2023,18400
UNL,2/2/2023,18300
UNL,2/1/2023,18450
UNL,1/31/2023,18220
UNL,1/30/2023,18500
UNL,1/29/2023,18400
UNL,1/26/2023,18320
UNL,1/25/2023,18450
UNL,1/23/2023,18200
UNL,1/18/2023,18300
UNL,1/17/2023,18150
UNL,1/12/2023,18150
UNL,1/10/2023,18500
UNL,1/9/2023,18670
UNL,1/8/2023,18250.2
UNL,1/5/2023,18300
UNL,1/4/2023,18350
UNL,1/3/2023,18100
UNL,1/1/2023,18350
UNL,12/29/2022,18675
UNL,12/28/2022,18400
UNL,12/27/2022,18245
UNL,12/22/2022,18500
UNL,12/21/2022,18500
UNL,12/20/2022,18797
UNL,12/19/2022,18475
UNL,12/15/2022,18849
UNL,12/14/2022,18965
UNL,12/12/2022,18599
UNL,12/11/2022,18600
UNL,12/7/2022,18360.1
UNL,12/6/2022,18600
UNL,12/5/2022,18600
UNL,12/4/2022,18500
UNL,12/1/2022,18415
UNL,11/30/2022,17700
UNL,11/29/2022,18184
UNL,11/28/2022,18500
UNL,11/27/2022,18700
UNL,11/24/2022,18600
UNL,11/23/2022,18600
UNL,11/22/2022,18601
UNL,11/17/2022,19700
UNL,11/16/2022,19891
UNL,11/15/2022,19600
UNL,11/13/2022,19200
UNL,11/10/2022,19480
UNL,11/9/2022,19490
UNL,11/8/2022,19600
UNL,11/7/2022,19999.9
UNL,11/6/2022,20000
UNL,11/3/2022,19500
UNL,11/2/2022,18300
UNL,11/1/2022,18004
UNL,10/31/2022,18000
UNL,10/23/2022,18000
UNL,10/20/2022,18150
UNL,10/19/2022,18120
UNL,10/16/2022,18120
UNL,10/13/2022,18350
UNL,10/12/2022,18000
UNL,10/11/2022,17900
UNL,10/10/2022,17900
UNL,10/9/2022,17800
UNL,9/29/2022,17998
UNL,9/28/2022,17646
UNL,9/27/2022,17400
UNL,9/25/2022,17500
UNL,9/21/2022,17750
UNL,9/20/2022,17700
UNL,9/18/2022,17641
UNL,9/15/2022,18000
UNL,9/14/2022,18400
UNL,9/13/2022,18100
UNL,9/12/2022,18100
UNL,9/11/2022,18399.9
UNL,9/8/2022,18100
UNL,9/7/2022,18150
UNL,9/6/2022,18100
UNL,9/5/2022,18225
UNL,9/4/2022,18100
UNL,9/2/2022,18000
UNL,9/1/2022,18485
UNL,8/31/2022,18800
UNL,8/29/2022,18799
UNL,8/28/2022,18575
UNL,8/26/2022,18500
UNL,8/25/2022,18550
UNL,8/24/2022,18850
UNL,8/23/2022,18500
UNL,8/22/2022,18344
UNL,8/21/2022,18690
UNL,8/17/2022,18600
UNL,8/16/2022,18191
UNL,8/15/2022,19275
UNL,8/14/2022,18897.5
UNL,8/11/2022,18905
UNL,8/10/2022,20600
UNL,8/9/2022,19750
UNL,8/8/2022,19000
UNL,8/7/2022,17993.8
UNL,8/5/2022,18000
UNL,8/4/2022,17900
UNL,8/3/2022,18000
UNL,8/2/2022,17999.8
UNL,8/1/2022,18100
UNL,7/31/2022,18000
UNL,7/29/2022,17650
UNL,7/28/2022,17545
UNL,7/27/2022,18000
UNL,7/26/2022,18000
UNL,7/25/2022,18300
UNL,7/24/2022,18500
UNL,7/21/2022,18571
UNL,7/19/2022,18799
UNL,7/17/2022,18551
UNL,7/15/2022,18360
UNL,7/14/2022,18000
UNL,7/13/2022,17700
UNL,7/12/2022,18005
UNL,7/11/2022,18005
UNL,7/7/2022,18005
UNL,7/5/2022,18300
UNL,7/4/2022,18400
UNL,7/3/2022,18335
UNL,6/30/2022,18700
UNL,6/29/2022,18350
UNL,6/28/2022,18400
UNL,6/26/2022,18700
UNL,6/23/2022,18200
UNL,6/21/2022,18106
UNL,6/20/2022,17751
UNL,6/19/2022,17910
UNL,6/17/2022,18100
UNL,6/16/2022,17999
UNL,6/15/2022,18000
UNL,6/14/2022,18461
UNL,6/13/2022,18100
UNL,6/10/2022,17387
UNL,6/9/2022,18350
UNL,6/8/2022,18499
UNL,6/7/2022,18129.6
UNL,6/6/2022,18499
UNL,6/3/2022,17864
UNL,6/1/2022,18599
UNL,5/31/2022,18611.9
UNL,5/27/2022,19000
UNL,5/26/2022,19089.9
UNL,5/25/2022,18717
UNL,5/24/2022,18350
UNL,5/23/2022,18300
UNL,5/20/2022,18450
UNL,5/18/2022,18750
UNL,5/11/2022,18600
UNL,5/9/2022,18500
UNL,5/5/2022,18600
UNL,5/4/2022,18950
UNL,4/28/2022,18950
UNL,4/27/2022,19299
UNL,4/26/2022,19000
UNL,4/25/2022,18700
UNL,4/21/2022,18402
UNL,4/19/2022,18700
UNL,4/18/2022,18800
UNL,4/17/2022,19100
UNL,4/13/2022,19147
UNL,4/12/2022,18772
UNL,4/11/2022,19100
UNL,4/7/2022,19398
UNL,4/6/2022,19377
UNL,4/5/2022,19100
UNL,4/3/2022,18502
UNL,3/31/2022,19100
UNL,3/30/2022,19002
UNL,3/27/2022,19379.9
UNL,3/24/2022,19000
UNL,3/23/2022,19100
UNL,3/20/2022,19450
UNL,3/16/2022,19500
UNL,3/14/2022,19500
UNL,3/13/2022,19380
UNL,3/10/2022,19173.9
UNL,3/9/2022,18600
UNL,3/7/2022,18463
UNL,3/6/2022,18101
UNL,3/2/2022,18331
UNL,2/28/2022,18700
UNL,2/27/2022,19000
UNL,2/24/2022,18650
UNL,2/23/2022,18632
UNL,2/22/2022,19000
UNL,2/21/2022,19000
UNL,2/20/2022,18700
UNL,2/17/2022,19000
UNL,2/16/2022,19000
UNL,2/15/2022,19000
UNL,2/14/2022,19000
UNL,2/13/2022,19000
UNL,2/10/2022,19200
UNL,2/9/2022,19100
UNL,2/8/2022,19382
UNL,2/6/2022,19002
UNL,2/3/2022,19002
UNL,1/30/2022,19050
UNL,1/27/2022,19000
UNL,1/24/2022,19000
UNL,1/23/2022,19125
UNL,1/20/2022,19125
UNL,1/19/2022,19100
UNL,1/18/2022,19200
UNL,1/17/2022,19012
UNL,1/16/2022,19500
UNL,1/12/2022,19500
UNL,1/11/2022,19400
UNL,1/10/2022,19162
UNL,1/9/2022,19300
UNL,1/6/2022,19150.1
UNL,1/5/2022,19075
